Altium Designer Pick and Place Locations
C:\bi4wms\projects\amateur\Bi4wmsFOC\发板工程\Bi4wms-SimpleFOC-revA (2023-4-21 9-53-53)\Project Outputs for ST-Cortex-M4\Pick Place for Bi4wms-SimpleFOC_revA.csv

========================================================================================================================
File Design Information:

Date:       22/08/23
Time:       19:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R134","1K","BottomLayer","JLC_R0402","1414.040","830.000","180","Resistor SMD"
"D105","Blue","TopLayer","LED0603","1471.852","914.122","270","Blue 603 LED"
"C120","100uF/25V/SMD,8x6.9mm","BottomLayer","CAP0805","1198.528","693.925","140","直插固态电容"
"P106","TYPEC-304A-ACP16O","TopLayer","TYPEC-304A-ACP16O","1447.645","328.462","20",""
"U111","SM05","BottomLayer","SOT23-3","1425.147","254.042","20","TVS管"
"U107","SM05","BottomLayer","SOT23-3","1904.402","652.402","90","TVS管"
"U105","SM05","BottomLayer","SOT23-3","1833.402","1400.598","0","TVS管"
"S101","SW-PB","TopLayer","KEY-4.5","1684.090","1005.339","110","KEY"
"C136","0.1uF","BottomLayer","JLC_C0402","1708.000","703.460","90","Capacitor SMD"
"C135","0.1uF","BottomLayer","JLC_C0402","1975.540","752.000","180","Capacitor SMD"
"C134","0.1uF","BottomLayer","JLC_C0402","1499.460","1049.000","0","Capacitor SMD"
"C133","10n","BottomLayer","JLC_C0402","1960.460","1172.000","0","Capacitor SMD"
"C130","1uF","BottomLayer","JLC_C0402","1337.000","737.460","90",""
"C129","10n","BottomLayer","JLC_C0402","1484.000","1123.460","90","Capacitor SMD"
"C128","0.1uF","BottomLayer","JLC_C0402","1287.000","737.460","90",""
"C127","0.1uF","BottomLayer","JLC_C0402","1438.000","541.540","270",""
"C126","4.7uF","BottomLayer","JLC_C0402","866.460","1004.000","180","电容"
"C125","0.1uF","BottomLayer","JLC_C0402","866.460","960.000","180","电容"
"C119","0.1uF","BottomLayer","JLC_C0402","866.460","862.000","180","Capacitor"
"C118","4.7uF","BottomLayer","JLC_C0402","866.460","906.000","180","电容"
"Y101","25MHz","BottomLayer","CX3225SB","1772.787","1252.417","180",""
"U113","STM32F103CBT6","BottomLayer","LQFP-48","1770.000","961.000","270","STM32 ARM-based 32-bit MCU with 128 Kbytes Flash, 48-pin LQFP, Industrial Temperature"
"U112","CH340E","BottomLayer","MSOP-10","1342.630","555.071","90",""
"U109","ASM1117-3.3V","BottomLayer","SOT-223","621.001","953.000","270",""
"U108","DRV8313PWP","TopLayer","HTSSOP-28","1246.172","1372.590","315",""
"U106","TPS5450DDAR","BottomLayer","SOIC127P600X170-9N","1066.001","500.000","230","Integrated Circuit"
"R133","470R","BottomLayer","JLC_C0402","1152.206","405.561","230","Resistor"
"R132","NC/0R","BottomLayer","JLC_R0402","1417.500","379.960","270","Resistor SMD"
"R131","NC/0R","BottomLayer","JLC_R0402","1456.000","379.960","270","Resistor SMD"
"R130","NC/0R","BottomLayer","JLC_R0402","998.040","1021.000","0","Resistor SMD"
"R129","1K","BottomLayer","JLC_R0402","1506.040","911.000","0","Resistor SMD"
"R128","0R","BottomLayer","JLC_R0402","1953.960","1210.000","180","Resistor SMD"
"R127","NC/1K5","BottomLayer","JLC_R0402","1379.000","379.960","90","Resistor SMD"
"P105","HDR-1X4","TopLayer","4pin-1.25","1900.846","667.599","60","4P接插件"
"P104","Header 6","TopLayer","6pin-1.25","1005.972","1674.685","200","Header, 6-Pin"
"P103","HDR-1X4","TopLayer","4pin-1.25","1562.401","1663.846","150","4P接插件"
"P102","HDR-1X4","TopLayer","4pin-1.25","957.204","303.044","340","4P接插件"
"L101","15uH/3A","TopLayer","IND-SMD_L7.0-W6.6","1221.997","718.000","0",""
"P107","HDR-1X4","TopLayer","4pin-1.25","1216.180","982.331","180","4P接插件"
"C132","22pF","BottomLayer","JLC_C0402","1882.000","1230.540","270","Capacitor"
"C131","22pF","BottomLayer","JLC_C0402","1667.000","1236.460","90","Capacitor"
